RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,P+R,P+A,P+R+A,VI,ORtg,DRtg,PpG_Per36,RpG_Per36,ApG_Per36,SpG_Per36,BpG_Per36,TOpG_Per36,FTA_Per36,2PA_Per36,3PA_Per36
,Amir Coffey,Lac,*,G-F,27.8,72,24.3,15.3,8.1,129,0.891,264,0.527,247,0.409,0.568,0.613,11.9,10.7,13.0,4.7,121.9,109.7,14.4,3.3,1.6,0.9,0.1,0.9,2.7,5.4,5.1
,DaQuan Jeffries,Cha,*,G-F,27.6,47,22.8,13.5,10.7,30,0.8,127,0.496,164,0.335,0.5,0.518,9.6,7.8,10.7,4.9,105.2,112.2,10.6,4.6,1.7,0.9,0.8,1.1,1.0,4.3,5.5
,Andrew Nembhard,Ind,*,G-F,25.2,65,28.9,16.3,17.2,136,0.794,364,0.538,175,0.291,0.506,0.545,13.4,15.1,18.4,7.6,111.3,110.9,12.5,4.1,6.2,1.5,0.2,2.1,2.6,7.0,3.4
,Max Strus,Cle,*,G-F,29.0,50,25.5,14.7,12.6,34,0.824,80,0.65,293,0.386,0.594,0.607,13.8,12.6,16.9,7.9,124.6,108.4,13.3,6.1,4.5,0.7,0.3,1.6,1.0,2.3,8.3
,RJ Barrett,Tor,*,F-G,24.8,58,32.2,28.7,14.4,311,0.63,676,0.522,306,0.35,0.523,0.547,27.4,26.5,32.8,11.1,107.3,111.0,23.6,7.0,6.0,0.9,0.3,3.1,6.0,13.0,5.9
,Ja Morant,Mem,*,G,25.7,50,30.4,32.2,17.2,319,0.824,604,0.523,285,0.309,0.504,0.563,27.3,30.5,34.6,11.7,112.1,110.5,27.5,4.9,8.6,1.4,0.2,4.4,7.6,14.3,6.8
,Coby White,Chi,*,G,25.2,74,33.1,24.5,13.6,307,0.902,537,0.544,584,0.37,0.55,0.601,24.1,24.9,28.5,8.4,114.3,114.7,22.2,4.0,4.9,1.0,0.2,2.6,4.5,7.9,8.6
,Darius Garland,Cle,*,G,25.2,75,30.7,27.2,13.9,255,0.878,645,0.53,529,0.401,0.562,0.6,23.4,27.3,30.2,9.6,121.1,111.2,24.2,3.4,7.9,1.4,0.1,2.9,4.0,10.1,8.3
,Nickeil Alexander-Walker,Min,*,G,26.6,82,25.3,16.0,13.8,118,0.78,246,0.524,370,0.381,0.553,0.579,12.6,12.1,15.4,6.8,115.8,109.6,13.4,4.6,3.8,0.9,0.6,1.7,2.0,4.3,6.4
,Tyler Herro,Mia,*,G,25.2,77,35.4,28.0,12.6,327,0.878,707,0.566,670,0.375,0.564,0.605,29.1,29.4,34.6,10.0,116.7,113.9,24.3,5.3,5.6,0.9,0.2,2.6,4.3,9.3,8.8
,Keldon Johnson,San,*,F-G,25.5,77,23.9,21.6,9.1,194,0.773,496,0.573,274,0.318,0.538,0.572,17.5,14.3,19.2,7.7,115.3,114.6,19.1,7.2,2.4,0.9,0.5,1.5,3.8,9.7,5.4
,Nic Claxton,Bro,*,C,26.0,70,26.9,16.8,13.3,154,0.513,547,0.576,21,0.238,0.568,0.569,17.7,12.6,19.9,8.2,114.9,109.3,13.8,9.9,2.9,1.2,1.9,1.6,2.9,10.5,0.4
,Luguentz Dort,Okc,*,G,26.0,71,29.2,13.6,7.9,46,0.717,180,0.489,413,0.412,0.578,0.586,14.3,11.7,15.9,5.5,120.1,103.3,12.5,5.1,2.0,1.4,0.6,0.9,0.8,3.1,7.2
,Daniel Gafford,Dal,*,F-C,26.5,57,21.5,19.5,14.1,196,0.689,403,0.702,0,0.0,0.702,0.716,19.1,13.7,20.5,9.1,137.4,105.3,20.6,11.4,2.3,0.7,3.0,2.0,5.8,11.8,0.0
,Quentin Grimes,Dal,,G,24.9,47,22.8,18.5,14.3,81,0.765,164,0.543,201,0.398,0.573,0.599,14.0,12.4,16.2,7.6,113.9,112.0,16.1,6.0,3.3,1.1,0.3,2.1,2.7,5.5,6.8
,Cameron Johnson,Bro,*,F,29.1,57,31.6,22.9,11.7,225,0.893,339,0.578,408,0.39,0.582,0.632,23.1,22.2,26.5,8.2,122.5,114.8,21.4,4.9,3.9,1.0,0.5,1.9,4.5,6.8,8.2
,Jordan Poole,Was,*,G,25.8,68,29.4,29.0,16.2,274,0.883,434,0.512,622,0.378,0.544,0.591,23.4,24.9,27.9,8.8,109.2,114.0,25.1,3.7,5.4,1.6,0.5,3.7,4.9,7.8,11.2
,Naz Reid,Min,*,C-F,25.6,80,27.5,21.5,10.5,143,0.776,461,0.544,462,0.379,0.556,0.577,20.2,16.5,22.5,8.4,114.6,104.9,18.6,7.9,3.0,0.9,1.2,1.8,2.3,7.5,7.6
,Dean Wade,Cle,*,F-C,28.4,59,21.2,10.4,7.5,30,0.533,49,0.653,222,0.36,0.561,0.563,9.6,6.7,10.9,5.8,122.6,106.8,9.2,7.1,2.2,1.2,0.5,0.7,0.9,1.4,6.4
,Javonte Green,Nor,,G,31.7,50,21.8,10.9,11.1,66,0.758,117,0.53,108,0.352,0.529,0.567,9.3,6.7,10.2,4.9,116.4,116.1,9.6,5.9,1.5,1.8,1.0,1.0,2.2,3.9,3.6
,Anthony Edwards,Min,*,G,23.7,79,36.3,31.4,13.4,496,0.837,801,0.501,811,0.395,0.547,0.595,33.3,32.1,37.8,9.8,114.8,109.7,27.4,5.7,4.5,1.2,0.6,3.2,6.2,10.1,10.2
,LaMelo Ball,Cha,*,G,23.6,47,32.0,35.9,14.3,229,0.843,475,0.478,528,0.339,0.494,0.536,30.1,32.6,37.5,12.1,108.5,109.2,28.4,5.5,8.3,1.2,0.3,4.0,5.5,11.4,12.6
,Deni Avdija,Por,*,F,24.3,72,30.0,23.2,18.8,372,0.78,502,0.552,342,0.365,0.55,0.605,24.2,20.8,28.1,10.4,115.7,108.7,20.3,8.8,4.7,1.2,0.6,3.2,6.2,8.4,5.7
,Onyeka Okongwu,Atl,*,F-C,24.3,74,27.9,17.3,11.6,216,0.759,536,0.634,148,0.324,0.602,0.634,22.3,15.6,24.5,9.3,128.5,108.2,17.3,11.5,3.0,1.2,1.2,1.5,3.8,9.3,2.6
,Tyrese Haliburton,Ind,*,G,25.1,73,33.6,21.6,10.7,222,0.851,444,0.581,562,0.388,0.582,0.616,22.2,27.8,31.4,10.0,130.4,115.6,19.9,3.7,9.9,1.5,0.8,1.7,3.3,6.5,8.2
,Devin Vassell,San,*,G-F,24.6,64,31.0,22.1,9.0,120,0.792,460,0.513,429,0.368,0.532,0.553,20.3,19.1,23.1,7.4,109.1,115.5,18.9,4.6,3.4,1.5,0.6,1.6,2.2,8.3,7.8
